Index,Acts number,Acts
,2 of 4,"Section 14 1 of the Hindu Succession Act, 1956"
,3 of 4,"Section 14 of the Hindu Succession Act, 1956"
,4 of 4,"After the companying into force of the Hindu Succession Act, 1956"
8,1 of 22,"Act, 1974 Industries Development and Regulation Act, 1957"
,2 of 22,"Development Act, 1948 The Oil Industry Development Act, 1974"
,3 of 22,"Gas Rules, 1959, Industries Development and Regulation Act, 1951"
,4 of 22,"The Oil Fields Regulation Development Act, 1948"
,5 of 22,"Minerals Pipelines Acquisition of Right of User in Land Act, 1962"
,6 of 22,"Mineral Oils include natural gas and petroleum. Mines Act, 1952"
,7 of 22,"Act, 1957 Oil Fields Regulation and Development Act, 1948"
,8 of 22,"Acts, numbered hereinbelow Petroleum Production Act, 1934"
,9 of 22,"User in Land Act, 1962 the Oil Industry Development Act, 1974"
,10 of 22,"The Mines Minerals Development and Regulation Act, 1957"
,11 of 22,"Development Act, 1948 Oil Industry Development Act, 1974"
,12 of 22,"Gas Regulation of Transmission, Supply Distribution Act, 2001"
,13 of 22,"User in Land Act, 1962 The Oil Industry Development Act, 1974"
,14 of 22,"Minerals Pipelines Acquisition of Right of User in Land , Act, 1962"
,15 of 22,"Bengal Money Lenders Act, 1940"
,16 of 22,"State legislature, namely, the Oriental Gas Company Act, 1960"
,17 of 22,"The Mines Act, 1952 the Mines and Minerals Development Act, 1957"
,18 of 22,"Gas Regulation of Transmission, Supply and Distribution Act, 2001"
,19 of 22,"Liquid Fuel Emergency Act, 1984"
,20 of 22,"Petroleum Act, 2000"
,21 of 22,"In the Pipelines Act, 1962"
,22 of 22,"Seventh Schedule. The Federal Legislature passed Petroleum Act, 1934"
9,1 of 1,"Act held thus Section 30 of the Arbitration Act, 1940"
10,0 of 0,Empty
11,1 of 1,"Section 308 of the Rajasthan Municipalities Act, 1959"
12,1 of 2,Section 41 of the Transfer of Property Act
,2 of 2,Transfer of Property Act hereinafter referred to as the Act
13,1 of 4,"Terrorist and Disruptive Activities Prevention Act, 1987"
,2 of 4,"Section 30 of the Indian Evidence Act, 1872"
,3 of 4,"The Terrorist and Disruptive Activities Prevention Act, 1985"
,4 of 4,"Sections 3 and 5 of the Explosive Substances Act, 1908"
14,0 of 0,Empty
15,0 of 0,Empty
16,1 of 1,"Central Excises and Salt Act, 1944"
17,1 of 1,"Explanation 2 to Section 40 b of the Income Tax Act, 1961"
18,1 of 1,"Madras Village Panchayat Amendment Act, 1964"
19,1 of 12,Limitation Act Act
,2 of 12,Limitation Act was passed which repealed the earlier Act
,3 of 12,Act of 1859. Article 142 of this Act
,4 of 12,India ever since 1871 and article 141 of the Limitation Act
,5 of 12,"Mohammedan, was reproduced in the Act"
,6 of 12,Limitation Act of 1859. In 1871 a new Limitation Act
,7 of 12,Plaintiff in section 2 8 of the Limitation Act
,8 of 12,Act which companyresponds to article 141 of the present Act
,9 of 12,Even before this Act
,10 of 12,Reading article 124 of the Limitation Act
,11 of 12,Act of 187 7 and again in article 141 of the present Act
,12 of 12,Indian Limitation Act
20,1 of 1,"It raises two questions under the Excess Profits Tax Act, 1940"
21,1 of 3,"The Law of Property Act, 1925"
,2 of 3,"Conveyancing Act, 1881"
,3 of 3,"Transfer of Property Act, 1882"
22,1 of 1,"Khandelwal in the year 1928 under the Indian Electricity Act, 1910"
23,1 of 1,Chapter VIA of the Madras Hindu Religious Endowments Act Act
24,0 of 0,Empty
25,1 of 8,English Sale of Goods Act and section 2 1 of the Factors Act
,2 of 8,Indian Sale of Goods Act
,3 of 8,"Sale of Goods Act itself, but section 2 15 of the Act"
,4 of 8,"Act, but which are defined in the Indian Contract Act"
,5 of 8,England that the operation of the Factors Act
,6 of 8,Act. Section 14 of the Contract Act
,7 of 8,Of section 30 2 of the Sale of Goods Act
,8 of 8,English Factors Act
26,1 of 16,"West Bengal Revenue Sales West . Bengal Amendment Act, 1950"
,2 of 16,"Act LXV of 1951 Industries Development and Regulation Act, 1951"
,3 of 16,"West Bengal Revenue Sales West Bengal Amendment Act, 1950"
,4 of 16,"Legislature by the India Proclamations of Emergency Act, 1946"
,5 of 16,"Bengal Land Revenue Sales West Bengal Amendment Act, 1950"
,6 of 16,"Sholapur Spinning and Weaving Company Emergency Provision Act, 1950"
,7 of 16,"Insurance Act, 1938"
,8 of 16,"Bengal Land-Revenue Sales West Bengal Amendment Act, 1950"
,9 of 16,"Government of India Act, 1935"
,10 of 16,"Bengal Land Revenue Sales Act, 1859"
,11 of 16,"Act XLVII of 1950 The Insurance Amendment Act, 1950"
,12 of 16,"Bill which was later passed as the Government India Act, 1935"
,13 of 16,"Court-fees Act, 1870"
,14 of 16,"Act LI of 1951 Railway Companies Emergency Provisions Act, 1951"
,15 of 16,"Land Acquisition Act, 1894"
,16 of 16,"Act, section 37 of the Bengal Revenue Sales Act, 1859"
27,1 of 1,"Tribunal under Section 66 I of the Indian Income-tax Act, 1922"
28,0 of 0,Empty
29,1 of 1,"Excess Profits Tax Act, 1940"
30,1 of 11,It is number a judicial ac
,2 of 11,We say this because that is the first judicial ac
,3 of 11,But in this case the mere fac
,4 of 11,The exac
,5 of 11,It is therefore necessary to know with certainty exac
,6 of 11,"As we have indicated, it is frequently the prac"
,7 of 11,No doubt in prac
,8 of 11,The final operative ac
,9 of 11,Delivery of judgment is a solemn ac
,10 of 11,Firm Gokal Chand v. Firm Nand Ram 1 . The fac
,11 of 11,It is a judicial ac
31,0 of 0,Empty
32,1 of 1,Indian Limitation Act
33,1 of 1,"Industrial Disputes Act, 1947"
34,1 of 14,Kishanlal always accepted this award and ac
,2 of 14,Rs. 500. Now it is evident that on those fac
,3 of 14,It was because of that the assertion of the fac
,4 of 14,Jairam accordingly reaped the benefit of the transac
,5 of 14,On the fac
,6 of 14,The ac
,7 of 14,The fac
,8 of 14,There can be numberdoubt that she ac
,9 of 14,Lals inaction over these years with full knowledge of the fac
,10 of 14,Mst. Mohan Dei to ac
,11 of 14,Brijlal on a true estimate of the fac
,12 of 14,That tin our opinion is a representation of an existing fac
,13 of 14,Brijlals assertion that he too accepted it. Kishan Lals inac
,14 of 14,We do number think the fac
35,1 of 4,"In accordance with section 9 of the Preventive Detention Act, 1950"
,2 of 4,"Schedule to the Government of India Act, 1935"
,3 of 4,"General Clauses Act, 1897"
,4 of 4,"District Magistrate, Surat. Subject-Preventive Detention Act, 1950"
36,1 of 1,Indian Evidence Act
37,1 of 3,Indian Arms Act
,2 of 3,Indian Evidence Act
,3 of 3,Section 157 is as much a provision of the Indian Evi- dence Act
38,1 of 2,"Indian Finance Supplementary Extending Act, 1931"
,2 of 2,"Debt Redemption Act, 1940"
39,1 of 1,City of Bombay Police Act 1902
40,1 of 12,Constitu- tion First Amendment Act
,2 of 12,Court referred to above. Section 3 3 of the Act
,3 of 12,"Rs. 2,000, under section 3 3 of the Act"
,4 of 12,Indian Press Act
,5 of 12,"Act, and that the provisions of section 4 1 of the Act"
,6 of 12,Sec- tion 4 1 a of the impugned Act
,7 of 12,Indian Press Emergency Act
,8 of 12,It seems to me that the words used in the Constitution Act
,9 of 12,Act Madras Maintenance Public Order Act
,10 of 12,Madras Maintenance of Public Order Act
,11 of 12,Romesh Thapars case 1 was whether the impugned Act
,12 of 12,"State, and it was observed that whatever ends the impugned Act"
41,1 of 8,"Land Improvement Loans Act, 1883"
,2 of 8,"United Provinces Laud Revenue Act, 1901"
,3 of 8,"Acts and in the Government of India Act, 1935"
,4 of 8,"Agriculture Tenants Acquisition of Privileges Act, 1949"
,5 of 8,"Encumbered Estates Act, 1934"
,6 of 8,"Constitution. Section 73 of the Government of India Act, 1931"
,7 of 8,"Uttar Pradesh Zamindari Abolition and Land Reforms Act, 1950"
,8 of 8,"Improvement Loans Act, 1883, or the Agricul- tural Loans Act, 1884"
42,1 of 7,Section 12 of the Court-Fees Act
,2 of 7,When the two sections in the same Act
,3 of 7,Specific Relief Act
,4 of 7,Schedule II of the Court-Fees Act
,5 of 7,Court Fees Act
,6 of 7,Whether a case falls under one particular section of the Act
,7 of 7,Schedule I of the Court-Fees Act
43,1 of 3,"Court in Special Reference No. 1 of 1951, In re Delhi Laws Act, 1912"
,2 of 3,"March, 1950, by the West Bengal Special Courts Act, 1950"
,3 of 3,"West Bengal under section 88 of the Government of India Act, 1935"
44,1 of 6,"Constitution and the Representation of the People Act, 1951"
,2 of 6,"Representation of People Act, 1949"
,3 of 6,"Under section 36 of the Representation of the People Act, 1951"
,4 of 6,"Government of India Act, 1935"
,5 of 6,"Government of India Act, 1919"
,6 of 6,"Superior Court, under the Quebec Controverted Elections Act. 1875"
45,1 of 1,"Bombay Rents, Hotel and Lodging House Rates Control Act, 1947"
46,0 of 0,Empty
47,1 of 2,Section. 11 of the Oudh Estates Act
,2 of 2,"Oudh Estates Act, he companyld, under section 14 of the Act"
48,1 of 6,Section 36 of the Bengal Money lenders Act
,2 of 6,Section a6 of the Bengal Money lenders Act
,3 of 6,Section 36 of the Money lenders Act
,4 of 6,Section 36 of the Money- lenders Act
,5 of 6,Indian Limitation Act
,6 of 6,Section 86 of the Money lenders Act
49,1 of 4,"Respondent under the Indian Arbitration Act, 1940"
,2 of 4,"Bombay Options in Cotton Prohibition Act, 1939"
,3 of 4,"Association. Section 8  i of the Bombay Cotton Contracts Act, 1932"
,4 of 4,"Section 8 of the Bombay Cotton Contracts Act, 1932"
50,1 of 4,"Madras Maintenance of Public Order, Act, 1949"
,2 of 4,"Madras Maintenance of Public Order Act, 1949"
,3 of 4,"State and those who do number. The Government of India Act, 1935"
,4 of 4,"Defence of the Realm Consolidation Act, 1914"
51,1 of 3,"The East Punjab Public Safety Act, 1949"
,2 of 3,"It was number disputed that under the Government of India Act, 1935"
,3 of 3,"By section 1 of the Defence of the Realm Consolidation Act, 1914"
52,1 of 4,"Court under section 51 of the Indian Income Tax Act, 1918"
,2 of 4,"Government of India Act, 1915"
,3 of 4,"Government of India Act, 1935"
,4 of 4,Court at Bombay Section 226 1 of the Government of India Act- 1935
53,0 of 0,Empty
54,1 of 4,Muhammadan Law it can have priority over other companytrac
,2 of 4,It seems clear that unless the husband by his own ac
,3 of 4,These two companysiderations are number affected by the fac
,4 of 4,It is a claim arising out of companytrac
55,1 of 1,"Co-operative Credit Societies Act, 1340"
56,1 of 1,"Cooperative Credit Societies Act, 1340"
57,1 of 3,Indian Evidence Act
,2 of 3,United Provinces Agriculturists Relief Act
,3 of 3,Relief Act and agreeably to the provisions of that Act
58,1 of 1,"Bihar Sales Tax Act, 1944"
59,1 of 30,"Vic., c. 104 sections 2 and 19 Government of India Act, 1935"
,2 of 30,"In Section 92 of the British North America Act, 1867"
,3 of 30,"We all know that at the date when the Government of India Act, 1935"
,4 of 30,"Civil Court A.I.R. 1949 F.C. 175, .2 L.R. 5 I.A. 178. Act. 1948"
,5 of 30,"List I of Schedule 7 to the Government of India Act, 1935"
,6 of 30,"Acts, we find that in The Bombay Probation of Offenders Act, 1938"
,7 of 30,"It seems to me that the Government of India Act, 1935"
,8 of 30,"Government of india Act, 1935"
,9 of 30,"Reference may also be made to section 24 of the Indian Arms Act, 1878"
,10 of 30,"List II of the 7th Schedule to the Government of India Act, 1935"
,11 of 30,"See also section 10 of the Central Excises and Salt Act, 1944"
,12 of 30,"For example, section 13 of the Indian Aircraft Act, 1934"
,13 of 30,"Under the Govern- ment of India Act, 1935"
,14 of 30,"Gov- ernment of India Act, 1935"
,15 of 30,"Section 19 of the Bombay Sales of Motor Spirit Taxation Act, 1946"
,16 of 30,"Similarly, in the Bombay Agricultural Produce Markets Act, 1939"
,17 of 30,"British Parliament while enacting the Government-of India Act, 1935"
,18 of 30,"Bombay High Court Letters Patent Amendment Act, 1948"
,19 of 30,"Whether the Bombay City Civil Court Act, 1948"
,20 of 30,"Act I of 1944, and section 13 of the Food Adul- teration Act, 1919"
,21 of 30,"Acts passed after the enactment of the Government of India Act, 1935"
,22 of 30,"Act No. XL of 1948, called the Bombay City Civil Court Act, 1948"
,23 of 30,"Bengal Money-lenders Act, 1940"
,24 of 30,"Section 11 of the Bombay Cotton Control Act, 1942"
,25 of 30,"List I of the Seventh Schedule of the Government of India Act, 1935"
,26 of 30,"Imperial Parlia- ment in the Government of India Act, 1935"
,27 of 30,"Act, 1946, and section 5 of the Bombay Harijan Temple Entry Act, 1947"
,28 of 30,"India was known to the framers of the Government of India Act, 1935"
,29 of 30,"United Provinces Regularisation of Remissions Act, 1933"
,30 of 30,"Bombay City Civil Court Act, 1048"
60,0 of 0,Empty
61,1 of 8,This section introduced in the Transfer of Property Act
,2 of 8,Vide S. 27-A of the Specific Relief Act
,3 of 8,Judge said that section 53-A of the Transfer of Property Act
,4 of 8,Transfer of the Property Act
,5 of 8,Court of Wards Act
,6 of 8,Estates by section 29 G of the Gujarat Talukdars Act
,7 of 8,Gujarat Talukdars Act Bombay Act
,8 of 8,Indian Registra- tion Act
62,1 of 30,"We all know that at the date when the Government of India Act, 1935"
,2 of 30,"In Section 92 of the British North America Act, 1967"
,3 of 30,"List I of Schedule 7 to the Government of India Act, 1935"
,4 of 30,"Acts, we find that in The Bombay Probation of Offenders Act, 1938"
,5 of 30,"Reference may also be made to Section 24 of the Indian Arms Act, 1878"
,6 of 30,"It seems to me that the Government of India Act, 1935"
,7 of 30,"List II of the 7th Schedule to the Government of India Act, 1935"
,8 of 30,"British Parliament while enacting the Government of India Act, 1935"
,9 of 30,"Similarly, in The Bombay Agricultural Produce Markets Act, 1939"
,10 of 30,"Section 19 of the Bombay Sales of Motor Spirit Taxation Act, 1946"
,11 of 30,"Act, 1946, and Section 5 of the Bombay Harijan Temple Entry Act, 1947"
,12 of 30,"List I of the Seventh Schedule of the Government of Indian Act, 1935"
,13 of 30,"Indian was known to the framers of the Government of India Act, 1935"
,14 of 30,"Act I of 1944, and Section 13 of the Food Adulteration Act, 1919"
,15 of 30,"Bombay High Court Letters Patent Amendment Act, 1948"
,16 of 30,"Whether the Bombay City Civil Court Act, 1948"
,17 of 30,"Government by Section 4 of the Bombay City Civil Court Act, 1948"
,18 of 30,"Section 4 of the Bombay City Court Act, 1948"
,19 of 30,"Acts passed after the enactment of the Government of India Act, 1935"
,20 of 30,"Bengal Money-lenders Act, 1940"
,21 of 30,"Section 100 of the Government of India Act, 1935"
,22 of 30,"Section 11 of the Bombay Cotton Control Act, 1942"
,23 of 30,"United Provinces Regularisation of Remissions Act, 1938"
,24 of 30,"For example, Section 13 of the Indian Aircraft Act, 1934"
,25 of 30,"Section 205 of the Government of India Act, 1935"
,26 of 30,"Imperial Parliament in the Government of India Act, 1935"
,27 of 30,"Act No. XL of 1948, called the Bombay city Civil Court Act, 1948"
,28 of 30,"See also Section 10 of the Central Excises and Salt Act, 1944"
,29 of 30,"Vic., c. 104 Sections 2 and 19 Government of India Act, 1935"
,30 of 30,"Under the Government of India Act, 1935"
63,1 of 5,"Income-tax Act, 1918"
,2 of 5,"Section 25 of the Indian Income-tax Act, 1939"
,3 of 5,"But the Indian Income-tax Amendment Act, 1939"
,4 of 5,"Indian Income tax Act, 1918"
,5 of 5,"Indian Incometax Act, 1918"
64,1 of 4,Indian Incometax Act
,2 of 4,British India under section 4A b of the Income-tax Act
,3 of 4,Indian Income-tax Act
,4 of 4,Section 4A b runs thus-- For the purposes of this Act
65,0 of 0,Empty
66,1 of 1,"Court, under the Aboli- tion of Privy Council Jurisdiction Act, 1949"
67,1 of 9,"Preventive Detention Act, 1950"
,2 of 9,"Indian Criminal Law Amendment Madras Act, 1950"
,3 of 9,"Lamington Road. Under section 59 of the Bombay Police Act, 1951"
,4 of 9,"Indian Criminal Law Amendment Act, 1908"
,5 of 9,"Bombay Prevention of Gambling Act, 1887"
,6 of 9,"Gambling Act, 1887, or under the Bombay Prohibition Act, 1949"
,7 of 9,"Bombay Beggars Act, 1945"
,8 of 9,"Court- Notice under section 59 of the Bombay Police Act, 1951"
,9 of 9,"Act, 1945, or under the Bombay Prevention of Prostitution Act, 1923"
68,1 of 3,"The Bombay Industrial Relations Act, 1946"
,2 of 3,"Conciliation Act, 1934 and the Bombay Industrial Disputes Act, 1938"
,3 of 3,"Bombay Trade Disputes Conciliation Act, 1934"
69,1 of 4,"Referring to the provisions of s. 134 of the Lunacy Act, 1890"
,2 of 4,Delhi Ajmer Merwara Rent. Control Act 1947
,3 of 4,"Public Health Act, 1875"
,4 of 4,"Rent Control Act, 1952"
70,1 of 15,"Act, may, under section 6 of the Act"
,2 of 15,Section 14 of the Act
,3 of 15,"Court of Wards, as required by section 18 of the Act"
,4 of 15,Board as required by section 18 of the Act
,5 of 15,"Wards Act IX of 1879, hereinafter referred to as the Act"
,6 of 15,Bihar Land Reforms Act
,7 of 15,Cess Act IX of 1880. Under sections 80 and 81 of that Act
,8 of 15,Bengal Court of Wards Act
,9 of 15,Bengal Cess Act
,10 of 15,Guardians and Wards Act
,11 of 15,Lordships opinion necessary under section 18 of Act
,12 of 15,Indian Companies Act
,13 of 15,Court of Wards to mortgage the property under section 18 of Act
,14 of 15,Rule 242 framed under section 70 of the Act
,15 of 15,"There, the question related to section 41 of the Act"
71,1 of 1,Religious and Charitable Endowments Act
72,1 of 1,"Jammu and Kashmir Preventive Detention Act, 2011"
73,1 of 2,"Corrupt Practices Municipal Elections Act, 1872"
,2 of 2,"Section 20 of the Parliamentary Elections Act, 1868"
74,1 of 1,"Indian Income-tax Act, 1922"
75,1 of 2,"Punjab Land-Revenue Act, 1887"
,2 of 2,"Punjab Land- Revenue Act, 1887"
76,1 of 1,"Re. presentation of the People Act, 1950"
77,1 of 6,"Rule 2 6 of the Election Rules, the General Clauses Act"
,2 of 6,"Act No. XLIII of 1951, hereinafter referred -to as the Act"
,3 of 6,We are also unable to read in the proviso to s. 37 of the Act
,4 of 6,Representation of the People Act
,5 of 6,Act or Regulation made after the companymencement of this Act
,6 of 6,"Clauses Act, which is as follows Where by any Central Act"
78,1 of 1,"Section 56 of the Bombay Police Act, 1951"
79,1 of 3,"Medical Act, 1858"
,2 of 3,"Government Board under the Housing, Town Planning, etc. Act, 1909"
,3 of 3,"Board of Education under s. 7 of the Education Act, 1902"
80,1 of 11,"Thus, the provisions of the Act"
,2 of 11,Industrial Disputes Act
,3 of 11,State of its power under s. 3 of the Act
,4 of 11,Industrial Disputes Amendment Act
,5 of 11,"Disputes Act XXVIII of 1947, hereinafter referred to as the Act"
,6 of 11,It cannot be doubted that the entire scheme of the Act
,7 of 11,State is section 3 of the Act
,8 of 11,Industrial Dispute Appellate Tribunal Act
,9 of 11,All. 498. Their Workmen supra that this Act
,10 of 11,Ltd Their Employees 2 that even prior to the enactment of Act
,11 of 11,"Act gives him for appropriate relief, if the Act"
81,1 of 1,"Indian Companies Act, 1913"
82,1 of 1,"Industrial Disputes Act, 1947"
83,1 of 3,"Code of Criminal Procedure, 1872 Act"
,2 of 3,Code of Criminal Procedure Act
,3 of 3,In the next Code of 1882 Act
84,1 of 3,"India Income-tax Act, 1922"
,2 of 3,"Punjab under section 66 2 of the Indian Income-tax Act, 1922"
,3 of 3,"Tribunal under section 66 1 of the Indian Income-tax Act, 1922"
85,1 of 6,"No. 3 under the Payment of Wages Act, 1936"
,2 of 6,"Industrial Disputes Act, 1947"
,3 of 6,"Disputes Amendment and Miscellaneous Provisions Act, 1956"
,4 of 6,"Railway Company under s. 15 of the Payment of Wages Act, 1936"
,5 of 6,"Industrial Disputes Amendment Act, 1956"
,6 of 6,"Labour Officer and Inspector under the Payment of Wages Act, 1936"
86,1 of 2,"Act, 1882, and ss. 119 and 120 of the Indian Succession Act, 1925"
,2 of 2,"Transfer of Property Act, 1882"
87,1 of 4,"The British North America Act, 1867"
,2 of 4,"Act are void under s. 107 of the Government of India Act, 1935"
,3 of 4,"There, the question was whether the Bengal Money- Lenders Act, 1940"
,4 of 4,"Indian legislatures under the Government of India Act, 1935"
88,1 of 1,"Dalim Tea Estate under section 20 of the Minimum Wages Act, 1948"
89,1 of 2,"It was number till 1937 that by the Matrimonial Causes Act, 1937"
,2 of 2,"Matrimonial Causes Act, 1950"
90,1 of 3,"Income-tax, Central . By the Indian Income-tax Amendment Act, 1956"
,2 of 3,"Income-tax Law Amendment Act, 1940"
,3 of 3,"Indian Income-tax Amendment Act, 1940"
91,1 of 4,"Bom. 650, By the Indian Income-tax Amendment Act, 1956"
,2 of 4,"Indian Income-tax Amendment Act, 1940"
,3 of 4,"Indian Income- tax Amendment Act, 1940"
,4 of 4,"Income-tax Law Amendment Act, 1940"
92,0 of 0,Empty
93,1 of 4,"Preventive Detention Act, 1950"
,2 of 4,"Preventive Detention Act but also the Foreigners Act, 1946"
,3 of 4,"British Nationality and Status of Aliens Act, 1914"
,4 of 4,"Detention Act and section 3 2 c of the Foreigners Act, 1946"
94,1 of 2,"In section 19 of the Bombay Municipal Boroughs Act, 1925"
,2 of 2,"Bombay District Muncipal and Municipal Boroughs Amendment Act, 1954"
95,1 of 1,"Influx from Pakistan Control Act, 1949"
96,1 of 2,"India filed objections under section 30 of the Arbitration Act, 1940"
,2 of 2,"The Interest Act, 1839"
97,1 of 1,"Panchayat Raj Act, 1947"
98,0 of 0,Empty
99,1 of 1,These Acts 1237
100,1 of 1,"Copyright Act, 1911"
101,1 of 2,"Representation of the People Act, 1951"
,2 of 2,"Indian Post Office Act, 1898"
102,1 of 1,"Sikh Gurdwaras Act, 1925"
103,1 of 1,"Transfer of Property Act, 1882"
104,1 of 1,"Government of India Act, 1935"
105,1 of 10,"This was replaced by section 32 of the Government of India Act, 1915"
,2 of 10,"East India Company if the Government of India Act, 1858"
,3 of 10,"Legislatures were companyferred by the Government of India Act, 1935"
,4 of 10,"Procedure which has the sanction of the Government of India Act, 1935"
,5 of 10,"Australia and other Colonies. Section 56 of the Judiciary Act, 1903"
,6 of 10,Sections 100 to 104 of the Government of India Act. 1935
,7 of 10,"Section 65 of the Government of India Act, 1858"
,8 of 10,"Crown were abolished by the Crown Proceedings Act, 1947"
,9 of 10,"Civil Procedure. Section 292 of the Government of India Act, 1935"
,10 of 10,"These provisions of the Government of India Act, 1935"
106,0 of 0,Empty
107,1 of 7,Local Self Government companyferred by the District Boards Act
,2 of 7,Jagirdars. The Jagirdars had challenged those Act
,3 of 7,Revenue laws in other parts of Rajasthan and the impugned Act
,4 of 7,States. The argument that the Jaipur District Boards Act
,5 of 7,Mewar Tenancy Act and the Land Revenue Act. Under these Act
,6 of 7,State has passed Act
,7 of 7,Abducted Persons Recovery and Restoration Act
108,1 of 36,Madras Hindu religious Endowments Board. The New Act
,2 of 36,"Somayya, who appears for the respondent. Section 20 of the Act"
,3 of 36,The same reason applies in our opnion to section 31 of the Act
,4 of 36,The saving provision companytained in section 91 of the Act
,5 of 36,It was alleged further that the provisions of the Act
,6 of 36,Section 92 lays down that numberhing companytained in the Act
,7 of 36,"These, in brief, are the provisions of the Act"
,8 of 36,Maths under the Act
,9 of 36,If the companytribution payable under section 76 of the Act
,10 of 36,High Court that sections 58 and 59 of the Act
,11 of 36,Act are invalid. Chapter VI of the Act
,12 of 36,"August, 1951. In view of the Earlier Act"
,13 of 36,Madras Hindu Religion Endowments Act Act
,14 of 36,Madras Hindu Religious and Charitable Endowments Act
,15 of 36,State of Madras. As companypared with the Earlier Act
,16 of 36,Hindu Religious Endowments Board under the Earlier Act
,17 of 36,Constitution. The provisions of the Act
,18 of 36,Act. The Earlier Act
,19 of 36,Chapter II of the Act
,20 of 36,"Court, has been affected by some of the provisions of the Act"
,21 of 36,Section 76 of the Madras Act
,22 of 36,"Math, in respect of any proceeding under the Act"
,23 of 36,Judges pronounced quite a number of sections of the New Act
,24 of 36,Act. If the objectionable portions of the Act
,25 of 36,"Religious Endowments Board, functioning under the Earlier Act"
,26 of 36,"Constitution. As has been stated already, after the New Act"
,27 of 36,Government and their officers functioning under this Act
,28 of 36,New Act as well. 1008 Under section 103 of the New Act
,29 of 36,We find numberhing wrong in section 58 of the Act
,30 of 36,Madras State Legislature. The rest of the Act
,31 of 36,"Endowments Act,, 1951 hereinafter called the New Act"
,32 of 36,Maths of a similar nature. The sections of the new Act
,33 of 36,"Act, numberifications, orders and acts under the Earlier Act"
,34 of 36,Hindu Religious Endowments Board companystituted under that Act
,35 of 36,"Act 11 of 1927, hereinafter referred to as the Earlier Act"
,36 of 36,Court so far as it declared several sections of the new Act
109,1 of 2,Indian Trusts Act
,2 of 2,Partnership Act
110,1 of 8,"Nagana, the father. The fac"
,2 of 8,High Court held that though.Nagana by his ac
,3 of 8,He must ac
,4 of 8,The fathers ac
,5 of 8,In the eye of the law they were the ac
,6 of 8,In our opinion the fac
,7 of 8,The substantial defence put forward was of a two-fold charac
,8 of 8,But the ac
111,1 of 1,"Indian Income-tax Amendment Act, 1939"
112,1 of 4,Election Commission under section 81 2 b of the Act
,2 of 4,Tribunal as companypetent to do under the provisions of the Act
,3 of 4,Representation of the People Act hereinafter called the Act
,4 of 4,Act. Under rule 119 of the Election Rules framed under the Act
113,1 of 1,"United State of Travancore and Cochin High Court Act, 1125"
114,1 of 3,"Essential Supplies Temporary Powers  I 1951 S.C.R, 747. Act, 1946"
,2 of 3,"That section 3 of the Essential Supplies Temporary Powers Act, 1946"
,3 of 3,"Natural Products Marketing British Columbia Act, 1936"
115,1 of 3,"Imports and Exports Control Act, 1947"
,2 of 3,"Sea, Customs Act, 1878"
,3 of 3,"Act would be necessary. Section 19 of the Sea Customs Act, 1878"
116,1 of 22,He firstly companytended that as Act
,2 of 22,That subject is dealt with in sections 7 and 17 of Act
,3 of 22,Act No. XLIX of 195 1. Part II of Act
,4 of 22,Section 46 of Act
,5 of 22,House under an Act
,6 of 22,Section 38 2 - of that Act
,7 of 22,"Thus, there is numberhing in the Act"
,8 of 22,Assembly under section 7 d of Act
,9 of 22,No. XLIX Of 1951 be attracted to elections held under that Act
,10 of 22,Part I of Act
