Index,Sections number,Sections
147,0 of 0,Empty
148,0 of 0,Empty
149,0 of 0,Empty
150,0 of 0,Empty
151,0 of 0,Empty
152,0 of 0,Empty
153,0 of 0,Empty
154,0 of 0,Empty
155,0 of 0,Empty
156,0 of 0,Empty
157,0 of 0,Empty
158,0 of 0,Empty
159,0 of 0,Empty
160,0 of 0,Empty
161,0 of 0,Empty
162,0 of 0,Empty
163,0 of 0,Empty
164,0 of 0,Empty
165,0 of 0,Empty
166,0 of 0,Empty
167,0 of 0,Empty
168,0 of 0,Empty
169,0 of 0,Empty
170,0 of 0,Empty
171,0 of 0,Empty
172,0 of 0,Empty
173,0 of 0,Empty
174,0 of 0,Empty
175,0 of 0,Empty
176,0 of 0,Empty
177,0 of 0,Empty
178,0 of 0,Empty
179,1 of 2,Section 124 IPC
,2 of 2,Section 153 IPC
180,0 of 0,Empty
181,0 of 0,Empty
182,0 of 0,Empty
183,0 of 0,Empty
184,0 of 0,Empty
185,0 of 0,Empty
186,0 of 0,Empty
187,0 of 0,Empty
188,0 of 0,Empty
189,0 of 0,Empty
190,0 of 0,Empty
191,0 of 0,Empty
192,0 of 0,Empty
193,0 of 0,Empty
194,0 of 0,Empty
195,0 of 0,Empty
196,0 of 0,Empty
197,0 of 0,Empty
198,0 of 0,Empty
199,1 of 2,Section 295 IPC
,2 of 2,Section 1215 IPC
200,0 of 0,Empty
201,0 of 0,Empty
202,0 of 0,Empty
203,0 of 0,Empty
204,0 of 0,Empty
205,0 of 0,Empty
206,0 of 0,Empty
207,0 of 0,Empty
208,0 of 0,Empty
209,0 of 0,Empty
210,0 of 0,Empty
211,0 of 0,Empty
212,0 of 0,Empty
213,0 of 0,Empty
214,0 of 0,Empty
215,1 of 2,Section 228 IPC
,2 of 2,Section 480 CrPC
216,0 of 0,Empty
217,0 of 0,Empty
218,0 of 0,Empty
219,0 of 0,Empty
220,0 of 0,Empty
221,0 of 0,Empty
222,0 of 0,Empty
223,0 of 0,Empty
224,0 of 0,Empty
225,0 of 0,Empty
226,0 of 0,Empty
227,0 of 0,Empty
228,0 of 0,Empty
229,0 of 0,Empty
230,0 of 0,Empty
231,0 of 0,Empty
232,0 of 0,Empty
233,0 of 0,Empty
234,0 of 0,Empty
235,0 of 0,Empty
236,0 of 0,Empty
237,0 of 0,Empty
238,0 of 0,Empty
239,0 of 0,Empty
240,0 of 0,Empty
241,0 of 0,Empty
242,0 of 0,Empty
243,0 of 0,Empty
244,0 of 0,Empty
245,0 of 0,Empty
246,0 of 0,Empty
247,0 of 0,Empty
248,0 of 0,Empty
249,0 of 0,Empty
250,0 of 0,Empty
251,0 of 0,Empty
252,0 of 0,Empty
253,0 of 0,Empty
254,0 of 0,Empty
255,0 of 0,Empty
256,0 of 0,Empty
257,0 of 0,Empty
258,0 of 0,Empty
259,0 of 0,Empty
260,0 of 0,Empty
261,0 of 0,Empty
262,0 of 0,Empty
263,0 of 0,Empty
264,0 of 0,Empty
265,0 of 0,Empty
266,0 of 0,Empty
267,0 of 0,Empty
268,0 of 0,Empty
269,0 of 0,Empty
270,0 of 0,Empty
271,1 of 1,Section 494 CrPC
272,0 of 0,Empty
273,0 of 0,Empty
274,0 of 0,Empty
275,0 of 0,Empty
276,0 of 0,Empty
277,0 of 0,Empty
278,0 of 0,Empty
279,1 of 2,Section 173 CrPC
,2 of 2,Section 4 CrPC
280,0 of 0,Empty
281,0 of 0,Empty
282,1 of 3,Section 2 IPC
,2 of 3,Section 165 IPC
,3 of 3,Section 161 IPC
283,0 of 0,Empty
284,0 of 0,Empty
285,0 of 0,Empty
286,0 of 0,Empty
287,0 of 0,Empty
288,0 of 0,Empty
289,0 of 0,Empty
290,0 of 0,Empty
291,0 of 0,Empty
292,0 of 0,Empty
293,0 of 0,Empty
294,0 of 0,Empty
295,0 of 0,Empty
296,0 of 0,Empty
297,0 of 0,Empty
298,0 of 0,Empty
299,0 of 0,Empty
300,0 of 0,Empty
301,1 of 1,Section 190 CrPC
302,0 of 0,Empty
303,0 of 0,Empty
304,0 of 0,Empty
305,0 of 0,Empty
306,0 of 0,Empty
307,0 of 0,Empty
308,0 of 0,Empty
309,0 of 0,Empty
310,0 of 0,Empty
311,0 of 0,Empty
312,0 of 0,Empty
313,0 of 0,Empty
314,0 of 0,Empty
315,0 of 0,Empty
316,0 of 0,Empty
317,0 of 0,Empty
318,0 of 0,Empty
319,0 of 0,Empty
320,0 of 0,Empty
321,0 of 0,Empty
322,1 of 2,Section 403 CrPC
,2 of 2,Section 1 CrPC
323,0 of 0,Empty
324,0 of 0,Empty
325,0 of 0,Empty
326,0 of 0,Empty
327,0 of 0,Empty
328,0 of 0,Empty
329,0 of 0,Empty
330,0 of 0,Empty
331,0 of 0,Empty
332,0 of 0,Empty
333,0 of 0,Empty
334,0 of 0,Empty
335,0 of 0,Empty
336,0 of 0,Empty
337,0 of 0,Empty
338,0 of 0,Empty
339,1 of 3,Section 6 CrPC
,2 of 3,Section 40 CrPC
,3 of 3,Section 33 CrPC
340,0 of 0,Empty
341,0 of 0,Empty
342,0 of 0,Empty
343,0 of 0,Empty
344,0 of 0,Empty
345,1 of 1,Section 84 IPC
346,0 of 0,Empty
347,0 of 0,Empty
348,0 of 0,Empty
349,0 of 0,Empty
350,0 of 0,Empty
351,0 of 0,Empty
352,0 of 0,Empty
353,0 of 0,Empty
354,0 of 0,Empty
355,0 of 0,Empty
356,0 of 0,Empty
357,0 of 0,Empty
358,0 of 0,Empty
359,0 of 0,Empty
360,0 of 0,Empty
361,0 of 0,Empty
362,0 of 0,Empty
363,0 of 0,Empty
364,0 of 0,Empty
365,0 of 0,Empty
366,0 of 0,Empty
367,0 of 0,Empty
368,0 of 0,Empty
369,0 of 0,Empty
370,0 of 0,Empty
371,0 of 0,Empty
372,0 of 0,Empty
373,0 of 0,Empty
374,0 of 0,Empty
375,0 of 0,Empty
376,0 of 0,Empty
377,0 of 0,Empty
378,0 of 0,Empty
379,0 of 0,Empty
380,0 of 0,Empty
381,0 of 0,Empty
382,0 of 0,Empty
383,0 of 0,Empty
384,0 of 0,Empty
385,0 of 0,Empty
386,0 of 0,Empty
387,0 of 0,Empty
388,0 of 0,Empty
389,0 of 0,Empty
390,0 of 0,Empty
391,0 of 0,Empty
392,0 of 0,Empty
393,0 of 0,Empty
394,0 of 0,Empty
395,0 of 0,Empty
396,1 of 2,Section 162 CrPC
,2 of 2,Section 154 CrPC
397,0 of 0,Empty
398,0 of 0,Empty
399,0 of 0,Empty
400,0 of 0,Empty
401,0 of 0,Empty
402,0 of 0,Empty
403,0 of 0,Empty
404,0 of 0,Empty
405,0 of 0,Empty
406,0 of 0,Empty
407,0 of 0,Empty
408,0 of 0,Empty
409,0 of 0,Empty
410,0 of 0,Empty
411,0 of 0,Empty
412,0 of 0,Empty
413,0 of 0,Empty
414,0 of 0,Empty
415,0 of 0,Empty
416,0 of 0,Empty
417,0 of 0,Empty
418,0 of 0,Empty
419,0 of 0,Empty
420,0 of 0,Empty
421,0 of 0,Empty
422,0 of 0,Empty
423,0 of 0,Empty
424,0 of 0,Empty
425,0 of 0,Empty
426,0 of 0,Empty
427,0 of 0,Empty
428,0 of 0,Empty
429,1 of 1,Section 195 CrPC
430,0 of 0,Empty
431,0 of 0,Empty
432,0 of 0,Empty
433,0 of 0,Empty
434,0 of 0,Empty
435,0 of 0,Empty
436,0 of 0,Empty
437,0 of 0,Empty
438,0 of 0,Empty
439,0 of 0,Empty
440,0 of 0,Empty
441,0 of 0,Empty
442,0 of 0,Empty
443,0 of 0,Empty
444,0 of 0,Empty
445,0 of 0,Empty
446,0 of 0,Empty
447,0 of 0,Empty
448,0 of 0,Empty
449,0 of 0,Empty
450,0 of 0,Empty
451,0 of 0,Empty
452,0 of 0,Empty
453,0 of 0,Empty
454,0 of 0,Empty
455,0 of 0,Empty
456,0 of 0,Empty
457,0 of 0,Empty
458,0 of 0,Empty
459,0 of 0,Empty
460,0 of 0,Empty
461,0 of 0,Empty
462,0 of 0,Empty
463,0 of 0,Empty
464,0 of 0,Empty
465,0 of 0,Empty
466,0 of 0,Empty
467,0 of 0,Empty
468,0 of 0,Empty
469,0 of 0,Empty
470,0 of 0,Empty
471,0 of 0,Empty
472,0 of 0,Empty
473,0 of 0,Empty
474,0 of 0,Empty
475,0 of 0,Empty
476,0 of 0,Empty
477,0 of 0,Empty
478,0 of 0,Empty
479,0 of 0,Empty
480,0 of 0,Empty
481,0 of 0,Empty
482,0 of 0,Empty
483,0 of 0,Empty
484,0 of 0,Empty
485,0 of 0,Empty
486,0 of 0,Empty
487,0 of 0,Empty
488,0 of 0,Empty
489,0 of 0,Empty
490,0 of 0,Empty
491,0 of 0,Empty
492,0 of 0,Empty
493,0 of 0,Empty
494,0 of 0,Empty
495,0 of 0,Empty
496,0 of 0,Empty
497,0 of 0,Empty
498,0 of 0,Empty
499,0 of 0,Empty
500,0 of 0,Empty
501,0 of 0,Empty
502,0 of 0,Empty
503,0 of 0,Empty
504,0 of 0,Empty
505,0 of 0,Empty
506,0 of 0,Empty
507,0 of 0,Empty
508,0 of 0,Empty
509,0 of 0,Empty
510,0 of 0,Empty
511,0 of 0,Empty
512,0 of 0,Empty
513,0 of 0,Empty
514,0 of 0,Empty
515,0 of 0,Empty
516,0 of 0,Empty
517,0 of 0,Empty
518,0 of 0,Empty
519,0 of 0,Empty
520,0 of 0,Empty
521,0 of 0,Empty
522,0 of 0,Empty
523,0 of 0,Empty
524,0 of 0,Empty
525,0 of 0,Empty
526,0 of 0,Empty
527,0 of 0,Empty
528,0 of 0,Empty
529,0 of 0,Empty
530,0 of 0,Empty
531,0 of 0,Empty
532,0 of 0,Empty
533,0 of 0,Empty
534,0 of 0,Empty
535,0 of 0,Empty
536,0 of 0,Empty
537,0 of 0,Empty
538,0 of 0,Empty
539,0 of 0,Empty
540,0 of 0,Empty
541,0 of 0,Empty
542,0 of 0,Empty
543,0 of 0,Empty
544,0 of 0,Empty
545,0 of 0,Empty
546,0 of 0,Empty
547,0 of 0,Empty
548,0 of 0,Empty
549,0 of 0,Empty
550,0 of 0,Empty
551,0 of 0,Empty
552,1 of 1,Section 307 IPC
553,0 of 0,Empty
554,0 of 0,Empty
555,0 of 0,Empty
556,0 of 0,Empty
557,0 of 0,Empty
558,0 of 0,Empty
559,0 of 0,Empty
560,0 of 0,Empty
561,0 of 0,Empty
562,0 of 0,Empty
563,0 of 0,Empty
564,0 of 0,Empty
565,0 of 0,Empty
566,0 of 0,Empty
567,0 of 0,Empty
568,0 of 0,Empty
569,0 of 0,Empty
570,0 of 0,Empty
571,0 of 0,Empty
572,0 of 0,Empty
573,0 of 0,Empty
574,0 of 0,Empty
575,0 of 0,Empty
576,0 of 0,Empty
577,0 of 0,Empty
578,0 of 0,Empty
579,0 of 0,Empty
580,0 of 0,Empty
581,0 of 0,Empty
582,0 of 0,Empty
583,0 of 0,Empty
584,0 of 0,Empty
585,0 of 0,Empty
586,0 of 0,Empty
587,0 of 0,Empty
588,0 of 0,Empty
589,0 of 0,Empty
590,0 of 0,Empty
591,0 of 0,Empty
592,0 of 0,Empty
593,0 of 0,Empty
594,0 of 0,Empty
595,0 of 0,Empty
596,0 of 0,Empty
597,0 of 0,Empty
598,0 of 0,Empty
599,0 of 0,Empty
600,0 of 0,Empty
601,0 of 0,Empty
602,1 of 4,Section 203 CrPC
,2 of 4,Section 229 CrPC
,3 of 4,Section 403 CrPC
,4 of 4,Section 196 CrPC
603,0 of 0,Empty
604,0 of 0,Empty
605,0 of 0,Empty
606,1 of 1,Section 10 CrPC
607,0 of 0,Empty
608,0 of 0,Empty
609,0 of 0,Empty
610,0 of 0,Empty
611,0 of 0,Empty
612,0 of 0,Empty
613,0 of 0,Empty
614,0 of 0,Empty
615,0 of 0,Empty
616,0 of 0,Empty
617,0 of 0,Empty
618,0 of 0,Empty
619,0 of 0,Empty
620,0 of 0,Empty
621,0 of 0,Empty
622,0 of 0,Empty
623,0 of 0,Empty
624,1 of 5,Section 120 IPC
,2 of 5,Section 381 IPC
,3 of 5,Section 411 IPC
,4 of 5,Section 34 IPC
,5 of 5,Section 120-B IPC
625,0 of 0,Empty
626,0 of 0,Empty
627,0 of 0,Empty
628,0 of 0,Empty
629,0 of 0,Empty
630,0 of 0,Empty
631,0 of 0,Empty
632,0 of 0,Empty
633,0 of 0,Empty
634,0 of 0,Empty
635,0 of 0,Empty
636,0 of 0,Empty
637,0 of 0,Empty
638,0 of 0,Empty
639,0 of 0,Empty
640,1 of 3,Section 157 CrPC
,2 of 3,Section 423 CrPC
,3 of 3,Section 342 CrPC
641,0 of 0,Empty
642,0 of 0,Empty
643,0 of 0,Empty
644,0 of 0,Empty
645,0 of 0,Empty
646,1 of 4,Section 57 IPC
,2 of 4,Section 1898 CrPC
,3 of 4,Section 53 IPC
,4 of 4,Section 401 CrPC
647,0 of 0,Empty
648,0 of 0,Empty
649,0 of 0,Empty
650,0 of 0,Empty
651,0 of 0,Empty
652,0 of 0,Empty
653,0 of 0,Empty
654,0 of 0,Empty
655,0 of 0,Empty
656,0 of 0,Empty
657,0 of 0,Empty
658,0 of 0,Empty
659,0 of 0,Empty
660,0 of 0,Empty
661,0 of 0,Empty
662,0 of 0,Empty
663,0 of 0,Empty
664,0 of 0,Empty
665,0 of 0,Empty
666,0 of 0,Empty
667,0 of 0,Empty
668,0 of 0,Empty
669,0 of 0,Empty
670,1 of 3,Section 80 IPC
,2 of 3,Section 307 CrPC
,3 of 3,Section 162 CrPC
671,0 of 0,Empty
672,0 of 0,Empty
673,0 of 0,Empty
674,0 of 0,Empty
675,0 of 0,Empty
676,0 of 0,Empty
677,0 of 0,Empty
678,0 of 0,Empty
679,0 of 0,Empty
680,0 of 0,Empty
681,0 of 0,Empty
682,1 of 2,Section 1 IPC
,2 of 2,Section 51 IPC
683,0 of 0,Empty
684,0 of 0,Empty
685,0 of 0,Empty
686,0 of 0,Empty
687,0 of 0,Empty
688,0 of 0,Empty
689,0 of 0,Empty
690,0 of 0,Empty
691,0 of 0,Empty
692,0 of 0,Empty
693,0 of 0,Empty
694,0 of 0,Empty
695,0 of 0,Empty
696,0 of 0,Empty
697,0 of 0,Empty
698,0 of 0,Empty
699,0 of 0,Empty
700,0 of 0,Empty
701,0 of 0,Empty
702,0 of 0,Empty
703,0 of 0,Empty
704,0 of 0,Empty
705,0 of 0,Empty
706,0 of 0,Empty
707,0 of 0,Empty
708,0 of 0,Empty
709,0 of 0,Empty
710,0 of 0,Empty
711,0 of 0,Empty
712,0 of 0,Empty
713,0 of 0,Empty
714,0 of 0,Empty
715,0 of 0,Empty
716,0 of 0,Empty
717,0 of 0,Empty
718,0 of 0,Empty
719,0 of 0,Empty
720,0 of 0,Empty
721,0 of 0,Empty
722,0 of 0,Empty
723,0 of 0,Empty
724,0 of 0,Empty
725,0 of 0,Empty
726,0 of 0,Empty
727,0 of 0,Empty
728,0 of 0,Empty
729,0 of 0,Empty
730,0 of 0,Empty
731,0 of 0,Empty
732,0 of 0,Empty
733,1 of 6,Section 2 CrPC
,2 of 6,Section 1860 IPC
,3 of 6,Section 45 IPC
,4 of 6,Section 5 IPC
,5 of 6,Section 5 CrPC
,6 of 6,Section 1 IPC
734,0 of 0,Empty
735,0 of 0,Empty
736,0 of 0,Empty
737,0 of 0,Empty
738,0 of 0,Empty
739,0 of 0,Empty
740,0 of 0,Empty
741,0 of 0,Empty
742,0 of 0,Empty
743,0 of 0,Empty
744,0 of 0,Empty
745,0 of 0,Empty
746,0 of 0,Empty
747,0 of 0,Empty
748,0 of 0,Empty
749,0 of 0,Empty
750,0 of 0,Empty
751,1 of 3,Section 381 IPC
,2 of 3,Section 94 CrPC
,3 of 3,Section 385 IPC
752,0 of 0,Empty
753,0 of 0,Empty
754,0 of 0,Empty
755,0 of 0,Empty
756,0 of 0,Empty
757,0 of 0,Empty
758,0 of 0,Empty
759,0 of 0,Empty
760,0 of 0,Empty
761,0 of 0,Empty
762,0 of 0,Empty
763,0 of 0,Empty
764,0 of 0,Empty
765,0 of 0,Empty
766,0 of 0,Empty
767,0 of 0,Empty
768,0 of 0,Empty
769,0 of 0,Empty
770,0 of 0,Empty
771,0 of 0,Empty
772,0 of 0,Empty
773,0 of 0,Empty
774,0 of 0,Empty
775,0 of 0,Empty
776,0 of 0,Empty
777,1 of 1,Section 500 IPC
778,0 of 0,Empty
779,0 of 0,Empty
780,1 of 1,Section 4 CrPC
781,0 of 0,Empty
782,0 of 0,Empty
783,0 of 0,Empty
784,0 of 0,Empty
785,0 of 0,Empty
786,0 of 0,Empty
787,0 of 0,Empty
788,0 of 0,Empty
789,0 of 0,Empty
790,0 of 0,Empty
791,0 of 0,Empty
792,0 of 0,Empty
793,0 of 0,Empty
794,0 of 0,Empty
795,0 of 0,Empty
796,0 of 0,Empty
797,0 of 0,Empty
798,0 of 0,Empty
799,0 of 0,Empty
800,0 of 0,Empty
801,0 of 0,Empty
802,0 of 0,Empty
803,0 of 0,Empty
804,0 of 0,Empty
805,0 of 0,Empty
806,0 of 0,Empty
807,0 of 0,Empty
808,0 of 0,Empty
809,0 of 0,Empty
810,0 of 0,Empty
811,0 of 0,Empty
812,0 of 0,Empty
813,1 of 2,Section 4 CrPC
,2 of 2,Section 1 CrPC
814,0 of 0,Empty
815,0 of 0,Empty
816,0 of 0,Empty
817,0 of 0,Empty
818,0 of 0,Empty
819,0 of 0,Empty
820,0 of 0,Empty
821,1 of 2,Section 476 CrPC
,2 of 2,Section 479 CrPC
822,0 of 0,Empty
823,0 of 0,Empty
824,0 of 0,Empty
825,0 of 0,Empty
826,0 of 0,Empty
827,0 of 0,Empty
828,0 of 0,Empty
829,0 of 0,Empty
830,0 of 0,Empty
831,0 of 0,Empty
832,0 of 0,Empty
833,0 of 0,Empty
834,0 of 0,Empty
835,0 of 0,Empty
836,0 of 0,Empty
837,0 of 0,Empty
838,0 of 0,Empty
839,0 of 0,Empty
840,0 of 0,Empty
841,0 of 0,Empty
842,0 of 0,Empty
843,0 of 0,Empty
844,0 of 0,Empty
845,0 of 0,Empty
846,0 of 0,Empty
847,0 of 0,Empty
848,0 of 0,Empty
849,0 of 0,Empty
850,1 of 1,Section 186 IPC
851,0 of 0,Empty
852,0 of 0,Empty
853,0 of 0,Empty
854,0 of 0,Empty
855,0 of 0,Empty
856,0 of 0,Empty
857,0 of 0,Empty
858,0 of 0,Empty
859,0 of 0,Empty
860,0 of 0,Empty
861,0 of 0,Empty
862,0 of 0,Empty
863,0 of 0,Empty
864,0 of 0,Empty
865,0 of 0,Empty
866,0 of 0,Empty
867,0 of 0,Empty
868,0 of 0,Empty
869,0 of 0,Empty
870,0 of 0,Empty
871,0 of 0,Empty
872,0 of 0,Empty
873,0 of 0,Empty
874,0 of 0,Empty
875,0 of 0,Empty
876,0 of 0,Empty
877,0 of 0,Empty
878,0 of 0,Empty
879,0 of 0,Empty
880,0 of 0,Empty
881,0 of 0,Empty
882,0 of 0,Empty
883,0 of 0,Empty
884,0 of 0,Empty
885,0 of 0,Empty
886,0 of 0,Empty
887,0 of 0,Empty
888,0 of 0,Empty
889,0 of 0,Empty
890,0 of 0,Empty
891,0 of 0,Empty
892,0 of 0,Empty
893,0 of 0,Empty
894,0 of 0,Empty
895,0 of 0,Empty
896,0 of 0,Empty
897,0 of 0,Empty
898,0 of 0,Empty
899,0 of 0,Empty
900,0 of 0,Empty
901,0 of 0,Empty
902,0 of 0,Empty
903,0 of 0,Empty
904,0 of 0,Empty
905,0 of 0,Empty
906,0 of 0,Empty
907,0 of 0,Empty
908,0 of 0,Empty
909,0 of 0,Empty
910,0 of 0,Empty
911,0 of 0,Empty
912,0 of 0,Empty
913,0 of 0,Empty
914,0 of 0,Empty
915,0 of 0,Empty
916,0 of 0,Empty
917,0 of 0,Empty
918,0 of 0,Empty
919,0 of 0,Empty
920,0 of 0,Empty
921,0 of 0,Empty
922,0 of 0,Empty
923,0 of 0,Empty
924,0 of 0,Empty
925,0 of 0,Empty
926,0 of 0,Empty
927,0 of 0,Empty
928,0 of 0,Empty
929,0 of 0,Empty
930,0 of 0,Empty
931,0 of 0,Empty
932,0 of 0,Empty
933,0 of 0,Empty
934,0 of 0,Empty
935,0 of 0,Empty
936,0 of 0,Empty
937,0 of 0,Empty
938,0 of 0,Empty
939,0 of 0,Empty
940,0 of 0,Empty
941,0 of 0,Empty
942,0 of 0,Empty
943,0 of 0,Empty
944,0 of 0,Empty
945,0 of 0,Empty
946,0 of 0,Empty
947,0 of 0,Empty
948,0 of 0,Empty
949,0 of 0,Empty
950,0 of 0,Empty
951,0 of 0,Empty
952,0 of 0,Empty
953,0 of 0,Empty
954,0 of 0,Empty
955,0 of 0,Empty
956,1 of 1,Section 107 CrPC
957,0 of 0,Empty
958,0 of 0,Empty
959,0 of 0,Empty
960,0 of 0,Empty
961,0 of 0,Empty
962,0 of 0,Empty
963,0 of 0,Empty
964,0 of 0,Empty
965,0 of 0,Empty
966,0 of 0,Empty
967,0 of 0,Empty
968,0 of 0,Empty
969,0 of 0,Empty
970,0 of 0,Empty
971,0 of 0,Empty
972,0 of 0,Empty
973,0 of 0,Empty
974,0 of 0,Empty
975,0 of 0,Empty
976,0 of 0,Empty
977,0 of 0,Empty
978,0 of 0,Empty
979,0 of 0,Empty
980,0 of 0,Empty
981,0 of 0,Empty
982,0 of 0,Empty
983,0 of 0,Empty
984,0 of 0,Empty
985,0 of 0,Empty
986,0 of 0,Empty
987,0 of 0,Empty
988,0 of 0,Empty
989,0 of 0,Empty
990,0 of 0,Empty
991,0 of 0,Empty
992,0 of 0,Empty
993,0 of 0,Empty
994,0 of 0,Empty
995,0 of 0,Empty
996,0 of 0,Empty
997,0 of 0,Empty
998,0 of 0,Empty
